outside_temp,outside_humidity,inside_temp,inside_humidity,season
65.6,76.4,78.9,52.9,fall
59.2,62.6,75.4,51.4,fall
61.1,60.7,74.4,45.4,fall
56.9,62.4,73.1,43.3,fall
56.0,65.7,70.2,44.6,fall
55.7,68.3,71.8,44.0,fall
60.0,66.0,75.6,43.0,fall
66.7,64.6,76.9,44.1,fall
68.0,64.4,78.6,45.6,fall
68.2,64.5,78.8,46.4,fall
66.4,80.4,78.4,47.4,fall
70.8,74.0,74.6,54.0,fall
70.2,69.8,77.5,52.5,fall
69.0,68.4,79.9,50.3,fall
69.6,67.7,81.3,48.7,fall
70.3,65.6,81.4,48.0,fall
73.2,64.3,82.2,47.0,fall
70.7,79.1,80.5,52.0,fall
69.5,85.0,79.8,55.6,fall
70.9,78.2,75.9,57.2,fall
68.5,88.7,77.4,60.5,fall
64.8,80.0,76.9,62.6,fall
64.6,86.2,78.1,59.2,fall
70.0,64.4,77.7,54.9,fall
71.1,61.9,79.1,51.4,fall
69.8,71.9,76.2,53.0,fall
71.3,65.5,76.1,55.6,fall
69.5,66.7,78.8,53.2,fall
66.0,62.9,78.7,53.3,fall
64.9,64.9,79.0,47.5,fall
71.4,64.5,79.1,47.3,fall
73.7,64.0,78.3,50.2,fall
71.3,57.7,77.1,50.4,fall
72.3,69.4,78.2,51.2,fall
63.7,86.1,78.4,56.2,fall
54.6,69.3,74.6,52.2,fall
51.3,68.4,72.9,42.7,fall
57.0,63.7,73.1,44.7,fall
57.0,70.7,72.1,45.7,fall
60.0,72.8,70.5,48.0,fall
63.2,74.4,72.6,51.9,fall
57.2,85.4,71.6,56.4,fall
58.3,64.4,71.5,54.6,fall
61.0,56.5,72.8,46.5,fall
66.0,84.3,71.1,48.9,fall
54.1,88.6,70.2,58.3,fall
52.0,60.8,68.3,50.3,fall
50.1,73.4,68.9,45.3,fall
47.4,66.9,66.6,42.6,fall
44.5,70.8,65.1,41.7,fall
42.8,72.0,64.6,42.7,fall
43.5,77.4,64.3,42.4,fall
49.6,66.2,64.3,43.5,fall
47.8,66.9,65.9,42.5,fall
49.6,65.3,67.5,40.2,fall
49.7,62.7,68.7,39.0,fall
46.9,73.5,65.9,41.7,fall
46.0,70.5,64.9,40.6,fall
44.0,72.3,65.2,40.5,fall
41.2,77.0,64.1,39.0,fall
48.2,53.7,64.1,37.7,fall
49.5,49.3,65.6,34.8,fall
51.9,69.2,68.7,38.5,fall
43.5,47.7,66.3,37.4,fall
52.6,71.2,68.4,40.1,fall
43.7,90.2,66.7,44.0,fall
31.8,92.3,62.3,48.4,fall
27.4,82.7,58.6,41.8,fall
29.5,72.4,54.8,40.6,fall
41.6,66.9,58.0,45.5,fall
43.1,61.3,61.2,42.3,fall
53.4,69.4,63.8,44.8,fall
60.0,73.3,67.5,53.8,fall
41.8,43.1,62.2,45.0,fall
38.4,63.1,61.1,35.5,fall
38.4,92.8,61.5,41.8,fall
40.6,93.3,61.4,49.8,fall
43.4,97.6,61.7,50.5,fall
45.2,96.2,62.9,53.0,fall
